case_id,run_id,project,experiment,fingerprint,root_name,child_span_count,generation_span_present,generation_run_id,status,error,server_start,server_end,server_duration_ms,model,provider,context_count,context_sha256_prefix,routed_answer_path,adjudicated_ground_truth,deliberate_pacing_s,root_wall_latency_ms,provider_latency_ms,input_tokens,output_tokens,retry_count,rl_remaining_tokens,rl_limit_tokens
case-002,01a031a1-44de-7101-ae48-85b18af96d01,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a1-4558-7103-9077-822913b832c2,success,,2026-08-24 02:37:27.646084+00:00,2026-08-24 02:37:29.801410+00:00,2155.3,openai/gpt-oss-120b,groq,5,5cc13a51db22ab2cbbada60c90a4f4fd,compound,simple,0.0,2155.3,1891.0,2085,647,0,4715,8000
case-003,01a031a1-4d4c-7da0-b7ea-320c5d0d430d,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a1-4d4c-7f10-a3d0-209619e4b3b3,success,,2026-08-24 02:37:29.804033+00:00,2026-08-24 02:37:30.854201+00:00,1050.2,openai/gpt-oss-120b,groq,5,5bf0af7a08b52d218dbe67c56f82496a,compound,simple,0.0,1050.2,1047.8,1783,243,0,1337,8000
case-004,01a031a2-1886-7131-96d4-f71514364a87,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a2-1886-7b02-9348-a167459dfa78,success,,2026-08-24 02:38:21.830289+00:00,2026-08-24 02:38:23.411862+00:00,1581.6,openai/gpt-oss-120b,groq,5,3407714b661f787f01760df24a062b80,compound,simple,51.0,1581.6,1579.0,1657,519,0,5696,8000
case-005,01a031a2-1eb6-7da1-ac96-3f8d1adabfd9,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a2-1eb6-7660-9204-bb7da468772f,success,,2026-08-24 02:38:23.414262+00:00,2026-08-24 02:38:25.161208+00:00,1746.9,openai/gpt-oss-120b,groq,5,0cb19f3cc26ab79ec96b415219211c08,compound,ambiguous,0.0,1747.0,1744.5,1803,742,0,3987,8000
case-007,01a031a2-258a-73d0-b4cb-0a4173d40709,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a2-258a-7052-a6b0-ccc9cdb5a6e4,success,,2026-08-24 02:38:25.162551+00:00,2026-08-24 02:38:26.640826+00:00,1478.3,openai/gpt-oss-120b,groq,5,b8248a7ae2bb4eb6c4d71b3bc94b9a7f,compound,compound,0.0,1478.3,1474.9,2074,486,0,1403,8000
case-008,01a031a2-f09e-7772-b9e0-bca36fa5d836,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a2-f09e-7591-9220-c0ad426bfdb2,success,,2026-08-24 02:39:17.150023+00:00,2026-08-24 02:39:18.706860+00:00,1556.8,openai/gpt-oss-120b,groq,5,3872b82816950130cc4107c12e7c4a01,compound,compound,50.5,1556.8,1552.3,1898,467,0,5455,8000
case-009,01a031a2-f6b6-7a80-bcba-16559904dbd0,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a2-f6b6-7683-a460-eaeb8d78a360,success,,2026-08-24 02:39:18.710111+00:00,2026-08-24 02:39:19.998793+00:00,1288.7,openai/gpt-oss-120b,groq,5,f6de49184f2ef3e9947d88f6727c4a65,compound,compound,0.0,1288.6,1284.7,1953,381,0,2685,8000
case-018,01a031a3-9b65-7ca2-8a94-342a8609d58d,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a3-9b66-7931-9eaa-7ee32251cb7a,success,,2026-08-24 02:40:00.869111+00:00,2026-08-24 02:40:02.117045+00:00,1247.9,openai/gpt-oss-120b,groq,5,4a10e92c5ec426418315a90871e211cb,compound,compound,40.9,1248.0,1243.2,2129,359,0,5152,8000
case-020,01a031a3-a047-7f31-9401-e3c1f3891427,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a3-a047-7053-ad13-b631c33b53c6,success,,2026-08-24 02:40:02.119503+00:00,2026-08-24 02:40:03.844487+00:00,1725.0,openai/gpt-oss-120b,groq,5,b5eae31c08aaa253180ff977821deccb,compound,compound,0.0,1725.0,1721.5,1810,584,0,3049,8000
case-022,01a031a3-a706-7a92-ba64-cfda6800134e,multitenant-rag-dev-groq-observability-v1,groq120b-routed-generation-validation-v1,d98f753ce3029b4a,generation_validation_request,1,True,01a031a3-a707-7bf3-b18b-33dc6fcb1e78,success,,2026-08-24 02:40:03.846870+00:00,2026-08-24 02:40:04.967821+00:00,1121.0,openai/gpt-oss-120b,groq,5,c372f0f59466f5eaa450a5278dacbf51,compound,compound,0.0,1121.0,1117.4,2070,409,0,721,8000
