case_id,adjudicated,routed_answer_path,decomposition_fallback,v2_reason_code,reference_phrases,nvidia20b_phrases_covered,groq120b_phrases_covered,delta_groq_minus_nvidia,phrases_only_groq120b,phrases_only_nvidia20b,nvidia20b_answer_chars,groq120b_answer_chars,groq120b_output_tokens,groq120b_latency_ms,scored
case-002,simple,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,753,1857,647,1891.0,False
case-003,simple,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,292,454,243,1047.8,False
case-004,simple,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,793,823,519,1579.0,False
case-005,ambiguous,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,1798,2065,742,1744.5,False
case-007,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,629,721,486,1474.9,False
case-008,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,1117,1109,467,1552.3,False
case-009,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,476,418,381,1284.7,False
case-018,compound,compound,False,multiple_independent_retrieval_needs,6,6,6,0,,,283,588,359,1243.2,True
case-020,compound,compound,False,multiple_independent_retrieval_needs,7,7,7,0,,,1250,1155,584,1721.5,True
case-022,compound,compound,False,multiple_independent_retrieval_needs,6,5,5,0,,,1054,907,409,1117.4,True
case-023,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,948,828,426,1584.0,False
case-025,ambiguous,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,497,583,375,1325.1,False
case-030,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,309,553,407,1342.9,False
case-041,compound,simple,True,multiple_independent_retrieval_needs,0,0,0,0,,,449,758,384,1283.4,False
case-046,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,193,355,245,892.4,False
case-047,compound,compound,False,multiple_independent_retrieval_needs,0,0,0,0,,,687,655,465,1466.3,False
case-056,simple,simple,True,multiple_independent_retrieval_needs,0,0,0,0,,,164,602,416,1398.3,False
case-059,simple,simple,True,multiple_independent_retrieval_needs,0,0,0,0,,,1518,2126,872,2613.7,False
